geoid,doc,dentist,pop
17031817300,0,0,2653
17031817400,0,0,4204
17031817500,4,1,3623
17031817600,65,4,3997
17031817700,8,0,4929
17031817900,22,2,5632
17031818000,0,2,4234
17031818100,0,2,2318
17031818200,6,7,4702
17031818300,0,1,5826
17031818401,2,4,3634
17031818402,0,4,3051
17031818500,11,10,5682
17031818600,1,1,4715
17031818700,2,2,3625
17031818800,7,3,5556
17031818900,8,10,4299
17031819000,1,0,5117
17031819100,0,4,4552
17031819200,0,0,6107
17031819300,1,1,2693
17031819400,0,1,5538
17031819500,3,4,3212
17031819600,2,2,4010
17031819700,3,3,5917
17031819801,3,6,5278
17031819802,2,2,2678
17031819900,1,1,3398
17031820000,0,1,2158
17031820101,9,2,6937
17031820103,29,6,4016
